MobileNo,Name,Acquiring_channel,Conversion_attribution,Type,LAN,Loan_amount,Interest,Tenure,Principal_amount,Loan_type,DPD_30,DPD_90,App_score,Imputed_Income,PIncode,Loan_status,Disbursement_date,EMI_amount,Age,Gender,Employment_type
9625095466,Karthik Reddy,Vijay Sales cross sell,App,Balance Transfer,LAN20204781488,157000,0.1498,18,0,Consumer durable,,,7,1544000,302775,Closed,01-03-2020,9793,44,Female,Salaried
9625095466,Karthik Reddy,vijay sales - cross-sell,Website,New,LAN20251602120,24730000,0.0986,20,5274969,Loan against securities,,,7,1544000,302775,Active,01-04-2025,1345942,44,Female,Salaried
9625095466,Karthik Reddy,employee referral scheme,Website,New,LAN20232662700,461000,0.1529,21,0,Consumer durable,,,7,1544000,302775,Closed,01-05-2023,25159,44,Female,Salaried
7097192505,Reyansh Mehta,Vijay Sales cross sell,App,New,LAN20246397171,2794000,0.1646,12,0,Personal loan,,,7.3,877000,800489,Closed,01-01-2024,254111,29,Female,Salaried
6541143821,Pooja Gupta,Vijay sales X-sell Diwali,App,New,LAN20213922430,20684000,0.0945,46,0,Home loan,,,8.2,947000,411871,Closed,01-04-2021,537751,45,Male,Salaried
8676450243,Rajesh Malhotra,Storefootfall,Call center,Balance Transfer,LAN20258456149,7860000,0.1165,19,2639642,Loan against securities,,,7.4,811000,440440,Active,01-07-2025,455009,43,Male,Salaried
9960584346,Sai Das,Vijay Sales cross sell,Website,Top-up,LAN20192394892,204000,0.1483,15,0,Consumer durable,,,9.5,1348000,226245,Closed,01-10-2019,14983,44,Male,Salaried
8467730216,Divya Nair,Email - preapproved offer,App,New,LAN20250580400,274000,0.1453,12,0,Consumer durable,,,5.9,1759000,641322,Closed,01-06-2025,24670,40,Male,Self-employed
8467730216,Divya Nair,Email - preapproved offer,Website,Top-up,LAN20219334193,4591000,0.1197,33,0,Personal loan,,,5.9,1759000,641322,Closed,01-07-2021,163959,40,Male,Self-employed
8810526830,Shreya Verma,paid_search_hl_nonbrand,Website,Balance Transfer,LAN20191061689,6047000,0.1045,9,0,Loan against securities,,,5.9,1186000,800418,Closed,01-09-2019,701482,55,Male,Self-employed
6866567936,Vikram Verma,MobileApp Campaign - Q3,Field,Balance Transfer,LAN20254266495,3842000,0.1475,28,1525123,Personal loan,,,9.6,1197000,641218,Active,01-02-2025,163012,44,Male,Salaried
6068715352,Meera Gomes,Entrypage_journey_pl,Website,New,LAN20207311079,24303000,0.1059,13,0,Loan against securities,,,6.8,1444000,560519,Closed,01-11-2020,1986976,28,Male,Self-employed
6299542770,Sanjay Reddy,TwoWheeler Suzuki tie-up,Website,New,LAN20216352261,2596000,0.1505,29,0,Personal loan,,,8.2,926000,452908,Closed,01-07-2021,107335,57,Female,Salaried
